area_type,availability,location,bhk,total_sqft,bath,balcony,price,price_per_sqft
Super built-up  Area,18-May,Electronic City Phase II,1,630,1,1,28.35,4500
Plot  Area,Ready To Move,RMV,3,2000,3,2,365,18250
Super built-up  Area,Ready To Move,Banashankari3rd stage bigbazar,3,1762,3,1,125,7094.21
Super built-up  Area,21-Dec,Bagalur Main Road,2,950,2,2,50,5263.16
Super built-up  Area,Ready To Move,Kodihalli,4,3252,5,3,335,10301.35
Super built-up  Area,18-Aug,Magadi Road,2,1116,2,1,50,4480.29
Super built-up  Area,Ready To Move,Narayanapura,2,1308,2,2,89.04,6807.34
Super built-up  Area,Ready To Move,MS Pallya,3,1200,3,0,90,7500
Plot  Area,Ready To Move,Binny Mills Employees Colony,4,1500,4,2,230,15333.33
Built-up  Area,Ready To Move,Bannerghatta Road,1,500,1,1,18.5,3700
Super built-up  Area,Ready To Move,Hennur,2,1075,2,1,52,4837.21
Super built-up  Area,18-Mar,Chandapura,1,530,1,0,11.66,2200
Built-up  Area,Ready To Move,Bellandur,2,1205,2,3,66,5477.18
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2,1075,2,2,60,5581.4
Built-up  Area,Ready To Move,KR Puram,2,930,2,2,39,4193.55
Super built-up  Area,Ready To Move,Balagere,2,1380,2,1,60,4347.83
Super built-up  Area,Ready To Move,Hebbal,4,2483,5,2,212,8538.06
Built-up  Area,Ready To Move,Kodigehaali,2,1166,2,2,55,4716.98
Super built-up  Area,Ready To Move,Bannerghatta Road,2,1050,2,1,65,6190.48
Super built-up  Area,19-Mar,Gopalapura,3,2023.71,3,2,275,13588.9
Super built-up  Area,Ready To Move,Begur Road,2,1200,2,2,46.8,3900
Super built-up  Area,Ready To Move,Lakshminarayana Pura,3,1600,2,1,108,6750
Super built-up  Area,Ready To Move,Billekahalli,3,1935,3,2,110,5684.75
Super built-up  Area,18-May,8th Phase JP Nagar,1,451,1,0,29.9,6629.71
Super built-up  Area,Ready To Move,Electronic City,3,1800,3,2,95,5277.78
Super built-up  Area,18-May,Jalahalli,3,1400,3,0,77,5500
Super built-up  Area,Ready To Move,Hegde Nagar,3,1801,3,2,115,6385.34
Built-up  Area,Ready To Move,Mahadevpura,2,1451,2,0,90,6202.62
Plot  Area,19-Jan,Anekal,2,1200,1,1,36,3000
Super built-up  Area,Ready To Move,Begur Road,2,1160,2,2,44,3793.1
Built-up  Area,Ready To Move,Kengeri,2,1000,2,1,25,2500
Super built-up  Area,Ready To Move,Kanakpura Road,2,950,2,1,40,4210.53
Built-up  Area,20-Dec,"Hoodi Circle,",3,1629,3,2,79,4849.6
Built-up  Area,Ready To Move,Vijayanagar,3,1580,2,0,134,8481.01
Super built-up  Area,21-Jun,Vijayanagar,3,1826,3,2,121,6626.51
Built-up  Area,Ready To Move,7th Phase JP Nagar,2,1245,2,1,94,7550.2
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,1145,2,2,45.79,3999.13
Super built-up  Area,Ready To Move,Sompura,2,825,2,1,33,4000
Super built-up  Area,18-Aug,Yeshwanthpur,3,1693,3,3,108,6379.21
Super built-up  Area,Ready To Move,Electronics City Phase 1,2,1113.27,2,2,53,4760.75
Built-up  Area,Ready To Move,Ashirvad Colony,2,1460,2,1,58,3972.6
Built-up  Area,Ready To Move,Doddathoguru,2,1050,2,1,32,3047.62
Built-up  Area,Ready To Move,Dodda Nekkundi,2,1260,2,2,55,4365.08
Super built-up  Area,Ready To Move,K N Extension,6,700,3,0,120,17142.86
Built-up  Area,Ready To Move,Hosur Road,2,1656,2,1,120,7246.38
Super built-up  Area,Ready To Move,Chandapura,3,1208,3,1,45,3725.17
Super built-up  Area,Ready To Move,Whitefield,3,1910,3,2,161,8429.32
Super built-up  Area,Ready To Move,Whitefield,4,3252,4,1,230,7072.57
Plot  Area,Ready To Move,Battarahalli,2,1200,2,1,65,5416.67
Super built-up  Area,Ready To Move,Gokula Extension,4,1200,4,1,175,14583.33
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2,1175,2,1,82,6978.72
Plot  Area,Ready To Move,Kamakshipalya,2,1000,2,0,165,16500
Plot  Area,Ready To Move,Bannerghatta Road,4,1200,2,0,125,10416.67
Super built-up  Area,Ready To Move,Rajaji Nagar,3,2390,3,2,410,17154.81
Super built-up  Area,19-Jan,Rajaji Nagar,7,12000,6,3,2200,18333.33
Plot  Area,Ready To Move,Sultan Palaya,2,550,1,1,62,11272.73
Super built-up  Area,Ready To Move,Sanne Amanikere,2,1185,2,0,38,3206.75
Super built-up  Area,Ready To Move,Kengeri,2,750,2,1,38,5066.67
Plot  Area,Ready To Move,Mahalakshmi Layout,6,1200,7,3,250,20833.33
Super built-up  Area,Ready To Move,Kanakpura Road,3,1550,3,3,64.5,4161.29
Built-up  Area,Ready To Move,Amco Colony,3,1760,3,2,88,5000
Super built-up  Area,Ready To Move,Billekahalli,2,1125,2,2,62,5511.11
Plot  Area,Ready To Move,Nagarbhavi,3,1350,3,2,150,11111.11
Plot  Area,17-Dec,Anandapura,2,1000,2,1,55,5500
Built-up  Area,18-Aug,Bommasandra Industrial Area,2,1090,2,2,31.48,2888.07
Plot  Area,Ready To Move,TC Palaya,2,1200,2,0,60,5000
Super built-up  Area,Ready To Move,Budigere,3,1991,4,2,103,5173.28
Super built-up  Area,18-Oct,Bommasandra,2,1060,2,1,26.5,2500
Super built-up  Area,Ready To Move,Ambalipura,2,1105,2,1,75,6787.33
Built-up  Area,Ready To Move,Hoodi,2,985,2,2,67,6802.03
Plot  Area,Ready To Move,Chandapura,6,1533,5,3,85,5544.68
Super built-up  Area,17-Jul,Balagere,3,1590,3,2,79,4968.55
Super built-up  Area,Ready To Move,CV Raman Nagar,2,1120,2,2,55,4910.71
Super built-up  Area,Ready To Move,Samethanahalli,2,1069,2,1,55,5145
Super built-up  Area,Ready To Move,Marathahalli,3,1933,3,2,140,7242.63
Built-up  Area,16-Mar,Hosur Road,2,1194,2,0,69,5778.89
Super built-up  Area,Ready To Move,Brookefield,2,1150,2,3,69,6000
Super built-up  Area,Ready To Move,Yelenahalli,2,1240,2,2,47.12,3800
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,1419,2,2,48.1,3389.71
Plot  Area,Ready To Move,7th Phase JP Nagar,8,1200,8,0,250,20833.33
Super built-up  Area,Ready To Move,Richmond Town,3,2150,4,0,240,11162.79
Super built-up  Area,Ready To Move,Suddaguntepalya,3,1450,3,2,55,3793.1
Super built-up  Area,18-Jul,Udayapur Village,3,1630,3,2,68.29,4189.57
Super built-up  Area,Ready To Move,Dasanapura,2,708,1,1,40,5649.72
Plot  Area,Ready To Move,Kasavanhalli,3,1000,4,3,110,11000
Plot  Area,Ready To Move,Whitefield,4,11890,4,3,700,5887.3
Super built-up  Area,Ready To Move,Bellandur,2,1250,2,1,76,6080
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3,1400,2,1,95,6785.71
Super built-up  Area,Ready To Move,Sarjapur  Road,3,1670,2,3,57,3413.17
Super built-up  Area,Ready To Move,Ardendale,3,1750,3,2,100,5714.29
Super built-up  Area,Ready To Move,Vittasandra,2,1404,2,1,71,5056.98
Super built-up  Area,Ready To Move,Hoodi,3,1715,2,2,95,5539.36
Built-up  Area,18-Apr,Electronic City,1,630,1,1,34.65,5500
Super built-up  Area,Ready To Move,Harlur,3,1752.12,3,2,135,7704.95
Super built-up  Area,Ready To Move,Hulimavu,3,1650,3,2,78,4727.27
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,1295,2,1,55.47,4283.4
Plot  Area,Ready To Move,Giri Nagar,3,1800,3,2,252,14000
Super built-up  Area,18-Sep,Sarjapur  Road,2,1346,2,1,74.03,5500
Plot  Area,Ready To Move,Thippasandra,4,1200,4,2,200,16666.67
Super built-up  Area,Ready To Move,Hormavu,2,1150,2,2,55,4782.61
Built-up  Area,Ready To Move,Chikkabidarakallu,4,3309,4,3,325,9821.7
Super built-up  Area,18-May,Chandapura,3,1190,2,2,30.35,2550.42
Super built-up  Area,Ready To Move,AECS Layout,3,1620,3,2,98,6049.38
Super built-up  Area,18-Apr,Marathahalli,2,950,2,1,46.96,4943.16
Super built-up  Area,Ready To Move,Harlur,3,2450,3,0,120,4897.96
Super built-up  Area,18-May,Electronic City Phase II,3,1220,2,1,35.23,2887.7
Super built-up  Area,Ready To Move,Hoysalanagar,2,850,2,1,30,3529.41
Built-up  Area,Ready To Move,Padmanabhanagar,2,1020,2,2,63,6176.47
Built-up  Area,Ready To Move,Chikkalasandra,2,1100,2,2,50,4545.45
Super built-up  Area,Ready To Move,Defence Colony,2,1150,2,2,126,10956.52
Super built-up  Area,18-Dec,Hebbal,3,1760,2,2,130,7386.36
Super built-up  Area,Ready To Move,Ambalipura,3,1800,3,3,110,6111.11
Super built-up  Area,Ready To Move,Akshaya Nagar,2,1070,2,1,54,5046.73
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,4,1500,4,2,220,14666.67
Plot  Area,Ready To Move,Vidyaranyapura,2,1440,2,0,95,6597.22
Super built-up  Area,Ready To Move,Amruthahalli,2,900,2,1,40,4444.44
Built-up  Area,Ready To Move,ITI Employees Layout,4,1200,4,1,230,19166.67
Super built-up  Area,18-May,Whitefield,2,1130,2,1,42.16,3730.97
Super built-up  Area,Ready To Move,Koramangala,2,1320,2,1,165,12500
Super built-up  Area,19-Jun,Kodigehalli,2,1270,2,1,98,7716.54
Built-up  Area,Ready To Move,Patelappa Layout,2,1200,2,1,62,5166.67
Super built-up  Area,Ready To Move,Ring Road Nagarbhavi,4,4800,4,0,235,4895.83
Super built-up  Area,Ready To Move,NS Palya,2,1200,2,1,74,6166.67
Super built-up  Area,Ready To Move,Subramanyapura,2,929,2,0,50.17,5400.43
Built-up  Area,Ready To Move,RMV 2nd Stage,4,1150,4,2,260,22608.7
Plot  Area,Ready To Move,Basavangudi,4,1125,4,3,180,16000
Plot  Area,Ready To Move,Kenchenahalli,5,500,3,2,65,13000
Plot  Area,Ready To Move,3rd Block Hrbr Layout,5,1200,5,2,190,15833.33
Super built-up  Area,Ready To Move,KUDLU MAIN ROAD,3,1464,3,2,56,3825.14
Super built-up  Area,Ready To Move,7th Phase JP Nagar,4,3600,4,3,400,11111.11
Plot  Area,Ready To Move,Bank Avenue,4,2000,4,2,99,4950
Super built-up  Area,Ready To Move,Chikkalasandra,2,1208,2,1,49,4056.29
Super built-up  Area,Ready To Move,Hebbal Kempapura,2,1130,2,2,60,5309.73
Super built-up  Area,Ready To Move,Surabhi Layout,3,1753,3,2,120,6845.41
Super built-up  Area,Ready To Move,Old Madras Road,5,4500,7,3,337,7488.89
Plot  Area,Ready To Move,Banjara Layout,3,600,3,2,58,9666.67
Super built-up  Area,22-Jun,Hoodi,2,1196,2,2,94.42,7894.65
Built-up  Area,Ready To Move,5th Phase JP Nagar,2,1150,3,3,52.5,4565.22
Super built-up  Area,18-Apr,Electronic City,2,1128,2,1,63,5585.11
Super built-up  Area,Ready To Move,Omkar Nagar,2,1000,2,1,53,5300
Super built-up  Area,Ready To Move,Yelahanka,2,1035,2,1,45,4347.83
Built-up  Area,Ready To Move,Kereguddadahalli,2,950,2,1,32,3368.42
Super built-up  Area,Ready To Move,Bisuvanahalli,3,1075,2,1,36,3348.84
Super built-up  Area,Ready To Move,Whitefield,2,1040,2,1,48.5,4663.46
Plot  Area,17-Oct,Maragondanahalli,2,720,2,1,45,6250
Super built-up  Area,Ready To Move,Lingadheeranahalli,3,1511,3,1,95,6287.23
Built-up  Area,Ready To Move,Silk Board,3,1300,3,1,58,4461.54
Super built-up  Area,19-Dec,Hoodi,3,1545,3,1,68.75,4449.84
Built-up  Area,Ready To Move,Shampura,1,375,2,0,26,6933.33
Super built-up  Area,Ready To Move,Vidyaranyapura,2,1062,2,3,38,3578.15
Super built-up  Area,Ready To Move,Kada Agrahara,2,1115,2,1,40,3587.44
Super built-up  Area,Ready To Move,JP Nagar,2,1000,2,1,35,3500
Super built-up  Area,17-May,Kambipura,2,883,2,1,45,5096.26
Super built-up  Area,19-Apr,Sarjapur  Road,2,1195,2,1,70,5857.74
Plot  Area,Ready To Move,BHEL Layout,4,1200,3,1,165,13750
Built-up  Area,Ready To Move,Medahalli,1,700,1,0,41,5857.14
Super built-up  Area,Ready To Move,Vittasandra,2,1246,2,1,67,5377.21
Plot  Area,Ready To Move,8th Phase JP Nagar,4,660,4,2,90,13636.36
Plot  Area,Ready To Move,Banashankari Stage III,4,8500,4,2,145,1705.88
Super built-up  Area,Ready To Move,Kashi Nagar,4,1600,4,1,80,5000
Super built-up  Area,18-Dec,Haralur Road,4,2805,5,3,154,5490.2
Super built-up  Area,Ready To Move,Begur Road,3,1584,3,0,65,4103.54
Plot  Area,Ready To Move,Sector 7 HSR Layout,4,3000,5,1,275,9166.67
Built-up  Area,Ready To Move,Hosur Road,3,1175,2,2,48,4085.11
Built-up  Area,19-Jul,"Yemlur, Old Airport Road,",3,1595,3,2,115,7210.03
Super built-up  Area,Ready To Move,VHBCS Layout,2,1353,2,2,110,8130.08
Super built-up  Area,18-Apr,Electronic City,3,1599,3,2,125,7817.39
Super built-up  Area,Ready To Move,Whitefield,2,1150,2,1,70,6086.96
Super built-up  Area,17-Dec,Jakkur,4,5230,6,1,465,8891.01
Super built-up  Area,Ready To Move,KR Puram,2,1155,2,2,42.74,3700.43
Built-up  Area,Ready To Move,Ittamadu,1,1200,2,0,85,7083.33
Super built-up  Area,18-Jul,Electronic City Phase II,2,1000,2,1,25,2500
Super built-up  Area,Ready To Move,Thanisandra,4,3000,4,0,120,4000
Built-up  Area,Ready To Move,Rajiv Nagar,3,1867,3,1,160,8569.9
Super built-up  Area,18-Jun,Ramagondanahalli,2,1251,2,1,47,3756.99
Super built-up  Area,18-Apr,Gattahalli,2,1028,2,1,45.5,4426.07
Super built-up  Area,Ready To Move,Arekere,2,1222,2,2,45,3682.49
Super built-up  Area,Ready To Move,Bannerghatta Road,3,1170,2,1,66,5641.03
Super built-up  Area,Ready To Move,Hebbal,3,2400,4,1,245,10208.33
Super built-up  Area,Ready To Move,Ramanjaneyanagar,3,1385,2,2,48.48,3500.36
Super built-up  Area,Ready To Move,HSR Layout,2,1372,2,1,68,4956.27
Super built-up  Area,Ready To Move,Magadi Road,3,1282,2,2,49,3822.15
Super built-up  Area,Ready To Move,Mico Layout,9,5000,9,3,210,4200
Built-up  Area,Ready To Move,7th Block Jayanagar,5,3000,3,1,528,17600
Super built-up  Area,Ready To Move,Kanakpura Road,2,1135,2,1,39.73,3500.44
Built-up  Area,20-Dec,Whitefield,3,1768,3,2,101,5712.67
Built-up  Area,Ready To Move,Byatarayanapura,3,1325,2,1,90,6792.45
Super built-up  Area,18-Apr,Electronic City,3,1599,3,2,99,6191.37
Plot  Area,18-Mar,Whitefield,3,1500,3,1,61.95,4130
Plot  Area,Ready To Move,2nd Phase JP Nagar,3,2610,3,0,499,19118.77
Super built-up  Area,Ready To Move,Uttarahalli,2,1286,2,2,63,4898.91
Built-up  Area,Ready To Move,Kammanahalli,5,2845,5,1,140,4920.91
Super built-up  Area,Ready To Move,K G Colony,3,1600,2,0,50,3125
Super built-up  Area,18-Sep,Hennur Road,2,1317.5,2,0,63.77,4840.23
Super built-up  Area,Ready To Move,Hebbal,3,3450,5,2,260,7536.23
Super built-up  Area,18-Apr,Munnekollal,2,1102,2,2,53.67,4870.24
Super built-up  Area,Ready To Move,Yelahanka,2,1350,2,2,54,4000
Super built-up  Area,Ready To Move,Banashankari,3,1200,2,2,42,3500
Plot  Area,Ready To Move,Hosa Road,6,1300,6,0,145,11153.85
Plot  Area,Ready To Move,Herohalli,2,1800,1,1,80,4444.44
Built-up  Area,Ready To Move,Chikkabanavar,2,950,2,1,40,4210.53
Super built-up  Area,21-Dec,Kanakpura Road,1,525,1,1,27.25,5190.48
Built-up  Area,Ready To Move,Attibele,2,656,2,1,25,3810.98
Plot  Area,Ready To Move,Marathahalli,4,1780,4,3,175,9831.46
Super built-up  Area,Ready To Move,3rd Block Hrbr Layout,2,1056,2,1,80,7575.76
Super built-up  Area,21-Feb,Bannerghatta Road,1,595,1,1,33.32,5600
Built-up  Area,Ready To Move,Ittamadu,2,1080,2,2,50,4629.63
Super built-up  Area,19-Dec,7th Phase JP Nagar,3,2225,3,1,160,7191.01
Super built-up  Area,18-Aug,Bommasandra,2,1126,2,1,28.15,2500
Super built-up  Area,Ready To Move,Electronics City Phase 1,3,1490,3,1,84,5637.58
Plot  Area,Ready To Move,HRBR Layout,4,2000,4,1,300,15000
Super built-up  Area,Ready To Move,Sarjapur  Road,3,1550,3,3,100,6451.61
Built-up  Area,Ready To Move,Ashwini layout,2,1160,2,1,55,4741.38
Built-up  Area,Ready To Move,Whitefield,4,4144,4,3,315,7601.35
Super built-up  Area,Ready To Move,Sarjapur  Road,3,2100,3,2,125,5952.38
Super built-up  Area,Ready To Move,Vittasandra,2,1404,2,1,69.3,4935.9
Plot  Area,Ready To Move,Sarjapur  Road,4,2230,4,3,225,10089.69
Super built-up  Area,Ready To Move,Marathalli bridge,3,1544,3,0,120,7772.02
Super built-up  Area,18-May,Banashankari Stage III,3,1305,2,1,58.7,4498.08
Super built-up  Area,Ready To Move,Marathahalli,2,1230,2,2,80,6504.07
Plot  Area,Ready To Move,T.C PALYA,2,1200,2,0,65,5416.67
Super built-up  Area,Ready To Move,Harlur,3,1460,3,1,73,5000
Built-up  Area,Ready To Move,Gottigere,2,967,2,3,45,4653.57
Built-up  Area,Ready To Move,Byatarayanapura,1,540,1,1,36,6666.67
Super built-up  Area,19-Dec,Hormavu,1,715,1,2,46,6433.57
Super built-up  Area,Ready To Move,Whitefield,3,2500,3,2,313,12520
Super built-up  Area,Ready To Move,Dooravani Nagar,3,1578,3,1,180,11406.84
Super built-up  Area,Ready To Move,Mysore Road,2,1020,2,1,48.95,4799.02
Super built-up  Area,Ready To Move,Jigani,2,1020,2,1,40,3921.57
Super built-up  Area,Ready To Move,Koramangala,2,1253,2,1,102,8140.46
Super built-up  Area,Ready To Move,JCR Layout,2,1180,2,2,42,3559.32
Super built-up  Area,Ready To Move,Nehru Nagar,2,961,2,2,38,3954.21
Built-up  Area,Ready To Move,Kanakapura,3,1419,3,3,75,5285.41
Super built-up  Area,Ready To Move,Harlur,3,1709,3,2,150,8777.06
Plot  Area,Ready To Move,Papareddipalya,2,1600,2,0,115,7187.5
Super built-up  Area,18-Jul,Venkatapura,1,416,1,1,18.5,4447.12
Carpet  Area,Ready To Move,Sanjay nagar,2,1100,2,2,98,8909.09
Super built-up  Area,Ready To Move,HSR Layout,3,1430,2,1,65,4545.45
Super built-up  Area,Ready To Move,Sneha Colony,2,1260,2,2,45,3571.43
Built-up  Area,Ready To Move,RMV Extension,3,1630,3,2,85,5214.72
Super built-up  Area,19-May,Sarjapur  Road,3,1249,3,2,44.71,3579.66
Super built-up  Area,Ready To Move,Kalena Agrahara,3,1450,2,3,85,5862.07
Super built-up  Area,17-Nov,Konanakunte,3,2791,3,1,223,7989.97
Super built-up  Area,Ready To Move,Hosapalya,1,600,1,0,90,15000
Built-up  Area,Ready To Move,Ashwini layout,1,834,1,1,60,7194.24
Plot  Area,Ready To Move,Doddagubbi,3,1125,4,1,70,6222.22
Super built-up  Area,Ready To Move,Arekere,3,2060,3,2,140,6796.12
Super built-up  Area,19-Jan,Malleshwaram,7,12000,7,3,2200,18333.33
Built-up  Area,Ready To Move,Gottigere,2,891,2,1,25,2805.84
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,1133,2,1,49.07,4330.98
Built-up  Area,Ready To Move,Bisuvanahalli,3,1075,2,1,37,3441.86
Super built-up  Area,18-May,Sector 6 HSR Layout,4,3000,5,2,260,8666.67
Plot  Area,Ready To Move,Brookefield,4,2440,5,2,425,17418.03
Built-up  Area,Ready To Move,Vidyaranyapura,2,1200,2,2,55,4583.33
Super built-up  Area,Ready To Move,Thanisandra,2,1075,2,2,45.8,4260.47
Super built-up  Area,Ready To Move,Kaggadasapura,2,1140,2,2,40,3508.77
Plot  Area,Ready To Move,Margondanahalli,5,940,4,2,150,15957.45
Plot  Area,Ready To Move,ITI Layout,6,2160,5,1,250,11574.07
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,1090,2,1,42,3853.21
Built-up  Area,Ready To Move,R.T. Nagar,4,1500,4,1,70,4666.67
Super built-up  Area,Ready To Move,Whitefield,4,4104,4,2,360,8771.93
Super built-up  Area,Ready To Move,Whitefield,3,1790,3,0,100,5586.59
Super built-up  Area,18-Dec,Hebbal,3,1920,3,2,134,6979.17
Built-up  Area,Ready To Move,HRBR Layout,2,1374,2,2,95,6914.12
Carpet  Area,Ready To Move,Bannerghatta Road,3,1445,3,2,95,6574.39
Super built-up  Area,19-Dec,Kanakapura,1,711,1,1,36,5063.29
Super built-up  Area,Ready To Move,Tumkur Road,3,1500,3,3,95,6333.33
Super built-up  Area,Ready To Move,Whitefield,3,1720,3,3,100,5813.95
Super built-up  Area,Ready To Move,Vasanthapura,3,1400,3,2,60,4285.71
Built-up  Area,Ready To Move,Kundalahalli,2,1030,2,2,49,4757.28
Super built-up  Area,Ready To Move,Mysore Road,2,1200,2,1,85,7083.33
Carpet  Area,18-Jul,Hosahalli,3,1375,3,2,70,5090.91
Plot  Area,Ready To Move,Hegde Nagar,2,1050,1,0,56,5333.33
Super built-up  Area,Ready To Move,Jalahalli,3,2250,3,2,160,7111.11
Super built-up  Area,Ready To Move,Bellandur,2,1000,2,2,50,5000
Super built-up  Area,Ready To Move,Jalahalli West,1,469,1,0,25,5330.49
Super built-up  Area,Ready To Move,Marathahalli,4,3800,4,3,250,6578.95
Super built-up  Area,Ready To Move,Kambipura,2,883,2,1,29,3284.26
Super built-up  Area,Ready To Move,GM Palaya,3,1820,2,3,86,4725.27
Built-up  Area,Ready To Move,Singasandra,3,1440,2,3,65,4513.89
Super built-up  Area,Ready To Move,near Ramanashree California resort,6,3600,4,1,160,4444.44
Built-up  Area,Ready To Move,Malleshwaram,4,2500,5,2,325,13000
Super built-up  Area,18-Aug,Mahadevpura,2,1225,2,2,48,3918.37
Plot  Area,Ready To Move,"6th block banashankari 3rd stage, 100 feet ORR",3,4000,3,1,660,16500
Carpet  Area,Ready To Move,Chikkalasandra,2,875,2,3,52.8,6034.29
Super built-up  Area,Ready To Move,Jalahalli East,1,750,1,2,40,5333.33
Super built-up  Area,Ready To Move,6th Phase JP Nagar,2,1180,2,3,80,6779.66
Super built-up  Area,Ready To Move,Haralur Road,2,1194,2,2,47,3936.35
Super built-up  Area,Ready To Move,Hennur Road,3,1500,2,2,62,4133.33
Super built-up  Area,Ready To Move,Poornapragna Housing Society Layout,2,1160,2,2,52.2,4500
Super built-up  Area,Ready To Move,Hosakerehalli,3,2378,3,1,262,11017.66
Super built-up  Area,Ready To Move,Sarjapur,2,1128,2,1,60,5319.15
Super built-up  Area,Ready To Move,Hebbal,3,1500,3,1,150,10000
Built-up  Area,18-Aug,Huskur,3,1220,2,1,35.23,2887.7
Super built-up  Area,Ready To Move,Sarjapur  Road,2,1210,2,2,58,4793.39
Super built-up  Area,20-Oct,Kanakpura Road,3,1100,2,1,58,5272.73
Super built-up  Area,Ready To Move,Bommasandra,3,1200,3,2,46,3833.33
Built-up  Area,18-Mar,Haralur Road,4,3385,5,0,260,7680.95
Super built-up  Area,Ready To Move,Nagondanahalli,3,1641,3,2,66,4021.94
Super built-up  Area,Ready To Move,Horamavu Agara,2,1200,2,1,45,3750
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,1260,2,1,67.39,5348.41
Super built-up  Area,Ready To Move,Mahadevpura,3,1720,3,3,78,4534.88
Super built-up  Area,Ready To Move,Yelahanka,2,1132.5,2,0,48.13,4249.89
Super built-up  Area,Ready To Move,Yelahanka,2,1210,2,1,45.98,3800
Built-up  Area,Ready To Move,Indira Nagar,4,2200,4,2,200,9090.91
Super built-up  Area,Ready To Move,Bisuvanahalli,3,1075,2,1,45,4186.05
Built-up  Area,Ready To Move,Thanisandra,3,1702,3,2,130,7638.07
Super built-up  Area,Ready To Move,Shanthala Nagar,2,1630,2,2,200,12269.94
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,1141,2,2,38.55,3378.62
